Fecha	Total	Primera dosis	Segunda dosis	Tercera dosis	Esquema completo	Refuerzo
2021-09-28	20788249	9263108	6492118	5033023	5185739	0
2021-09-29	21004660	9331789	6598983	5073888	5255926	0
2021-09-30	21292523	9434924	6710649	5146950	5351779	0
2021-10-01	21444151	9477620	6759485	5207046	5424640	0
2021-10-02	21516690	9494757	6787553	5234380	5458190	0
2021-10-03	21549854	9500116	6804003	5245735	5470999	0
2021-10-04	21681271	9524916	6837401	5318954	5550385	0
2021-10-05	21876763	9550053	6881956	5444754	5681627	0
2021-10-06	22116160	9571923	6938192	5606045	5847755	0
2021-10-07	22352125	9593695	6989232	5769198	6015742	0
2021-10-08	22667026	9613466	7184993	5868567	6117779	0
2021-10-09	22875849	9623676	7318542	5933631	6184534	0
2021-10-10	22982472	9628835	7366439	5987198	6238972	0
2021-10-11	23149042	9636551	7409282	6103209	6355943	0
2021-10-12	23397552	9654453	7498484	6244615	6500743	0
2021-10-13	23628367	9671500	7604445	6352422	6611807	0
2021-10-14	23920914	9688764	7805220	6426930	6689090	0
2021-10-15	24162094	9704167	7975001	6482926	6748348	0
2021-10-16	24464590	9713978	8239660	6510952	6777771	0
2021-10-17	24647897	9719850	8405034	6523013	6790452	0
2021-10-18	24839602	9734489	8554738	6550375	6820549	0
2021-10-19	24972060	9750407	8639078	6582575	6857060	0
2021-10-20	25081025	9764590	8698508	6617927	6895689	0
2021-10-21	25182537	9780864	8742766	6658907	6939289	0
2021-10-22	25275700	9795606	8780716	6699378	6983098	0
2021-10-23	25330666	9802963	8800116	6727587	7013247	0
2021-10-24	25357844	9805148	8808197	6744499	7030356	0
2021-10-25	25436117	9820338	8834381	6781398	7070412	0
2021-10-26	25510679	9832329	8859570	6818780	7110019	0
2021-10-27	25569841	9842563	8880225	6847053	7140556	0
2021-10-28	25633094	9854289	8903393	6875412	7171456	0
2021-10-29	25717783	9888050	8930234	6899499	7218258	0
2021-10-30	25772255	9922533	8938476	6911243	7258251	0
2021-10-31	25800950	9939797	8940918	6920235	7282929	0
2021-11-01	25869765	9963447	8956486	6949832	7326707	0
2021-11-02	25938815	9984120	8971476	6983219	7372161	0
2021-11-03	26007239	10002014	8985178	7020047	7419135	0
2021-11-04	26066217	10017665	8997758	7050794	7458669	0
2021-11-05	26262308	10033315	9012664	7216349	7631937	0
2021-11-06	26389209	10040318	9020750	7328141	7747505	0
2021-11-07	26423596	10043045	9022684	7357867	7779265	0
2021-11-08	26453315	10046001	9035413	7381901	7810402	0
2021-11-09	26564347	10048518	9068014	7447815	7883145	0
2021-11-10	26664153	10059462	9078427	7526264	7967430	0
2021-11-11	26852506	10070476	9090971	7691059	8138612	0
2021-11-12	27039584	10080202	9103511	7855871	8307956	0
2021-11-13	27284188	10084965	9110672	8088551	8543079	0
2021-11-14	27424183	10086396	9113394	8224393	8679636	0
2021-11-15	27568581	10094401	9125369	8348811	8807998	0
2021-11-16	27670213	10102486	9136666	8431061	8893920	0
2021-11-17	27741924	10110794	9146468	8484662	8951589	0
2021-11-18	27794032	10118526	9155120	8520386	8991195	0
2021-11-19	27850290	10126186	9165294	8558810	9033415	0
2021-11-20	27872484	10129065	9168994	8574425	9050528	0
2021-11-21	27878409	10129320	9170661	8578428	9054649	0
2021-11-22	27923083	10136225	9179660	8607198	9086703	0
2021-11-23	27961410	10142765	9187541	8631104	9114147	0
2021-11-24	27961410	10142765	9187541	8631104	9114147	0
2021-11-25	27961410	10142765	9187541	8631104	9114147	0
2021-11-26	28373238	10161233	9208049	8692544	9186075	311412
2021-11-27	28396291	10163235	9210168	8699523	9194017	323365
2021-11-28	28402651	10163695	9210632	8700644	9195366	327680
2021-11-29	28434067	10169492	9216229	8719662	9217347	328684
2021-11-30	28485574	10175287	9222765	8737281	9237847	350241
2021-12-01	28541948	10181265	9228438	8751182	9255012	381063
2021-12-02	28592611	10188084	9234167	8763613	9270769	406747
2021-12-03	28623729	10190888	9236873	8771855	9280509	424113
2021-12-04	28644008	10192588	9238960	8777419	9286956	435041
2021-12-05	28651157	10192861	9239252	8778236	9287955	440808
2021-12-06	28677318	10198006	9244802	8793232	9305674	441278
2021-12-07	28741454	10202801	9249492	8803685	9318613	485476
2021-12-08	28822131	10207648	9253951	8814112	9331520	546420
2021-12-09	28892653	10212248	9258118	8823954	9343711	598333
2021-12-10	28960590	10217205	9262225	8835148	9357454	646012
2021-12-11	29006443	10218705	9263570	8838844	9361872	685324
2021-12-12	29032134	10218940	9263755	8839490	9362628	709949
2021-12-13	29055632	10223122	9267661	8851068	9376207	713781
2021-12-14	29090880	10227387	9271634	8861760	9388653	730099
2021-12-15	29126523	10235340	9275241	8870275	9402992	745667
2021-12-16	29224482	10266992	9278594	8877744	9440384	801152
2021-12-17	29292150	10299822	9281573	8884924	9478586	825831
2021-12-18	29330035	10313482	9282534	8887771	9494597	846248
2021-12-19	29370584	10316552	9282787	8888264	9498051	882981
2021-12-20	29404770	10332705	9285420	8895151	9519495	891494
2021-12-21	29462299	10346041	9287697	8901259	9537322	927302
2021-12-22	29536349	10361109	9289919	8906457	9556317	978864
2021-12-23	29636947	10377251	9292358	8911948	9576627	1055390
2021-12-24	29769267	10393893	9294404	8917612	9597707	1163358
2021-12-25	29936632	10396920	9294773	8919143	9601548	1325796
2021-12-26	30023092	10397970	9294985	8920761	9604132	1409376
2021-12-27	30090996	10416579	9298216	8927093	9626071	1449108
2021-12-28	30274009	10429625	9300772	8933224	9643835	1610388
2021-12-29	30493043	10440834	9303516	8939542	9659851	1809151
2021-12-30	30719737	10448202	9305706	8944229	9670974	2021600
2021-12-31	30874045	10448955	9305904	8945092	9672464	2174094
2022-01-01	30888612	10449231	9305938	8945262	9672873	2188181
2022-01-02	30891212	10449308	9305955	8945419	9673087	2190530
2022-01-03	30895670	10449544	9306067	8945622	9673452	2194437
2022-01-04	30925470	10455713	9309296	8950875	9683780	2209586
2022-01-05	31020410	10464507	9312247	8956312	9696217	2287344
2022-01-06	31165635	10473519	9315474	8961455	9707836	2415187
2022-01-07	31344582	10482819	9317665	8966134	9719547	2577892
2022-01-08	31527306	10487125	9318507	8967816	9724444	2753858
2022-01-09	31689588	10488128	9318707	8968684	9725935	2914069
2022-01-10	31803702	10495703	9320393	8972626	9735086	3014980
2022-01-11	31975625	10504040	9322241	8976554	9745230	3172790
2022-01-12	32161357	10511082	9324218	8980706	9754368	3345351
2022-01-13	32375745	10517029	9325845	8984273	9761822	3548598
2022-01-14	32600145	10523876	9327310	8987323	9769548	3761636
2022-01-15	32808451	10526250	9327849	8988196	9771819	3966156
2022-01-16	32942089	10526575	9328259	8988331	9772152	4098924
2022-01-17	33013350	10531221	9329178	8990420	9777326	4162531
2022-01-18	33145786	10535327	9330587	8993587	9782850	4286445
2022-01-19	33275888	10539704	9332350	8996139	9788341	4407695
2022-01-20	33422531	10544254	9334329	8998689	9793740	4545231
2022-01-21	33549486	10548924	9336386	9001850	9799932	4662287
2022-01-22	33659972	10549889	9336902	9002598	9801110	4770523
2022-01-23	33727420	10550176	9336969	9002687	9801336	4837518
2022-01-24	33775628	10554915	9339080	9005554	9807436	4876009
2022-01-25	33866971	10558532	9340962	9007664	9811501	4876009
2022-01-26	33968091	10561720	9342453	9009649	9815389	5054186
2022-01-27	34067429	10564918	9345410	9011640	9819198	5145349
2022-01-28	34148586	10568180	9346844	9013330	9822769	5220110
2022-01-29	34236418	10569179	9347162	9013694	9823714	5306237
2022-01-30	34278865	10569265	9347177	9013778	9823862	5348499
2022-01-31	34298831	10571945	9348354	9019833	9831581	5358553
2022-02-01	34345875	10574142	9349510	9021128	9834152	5400947
2022-02-02	34394469	10576040	9350796	9022685	9836613	5444799
2022-02-03	34446973	10578312	9352294	9024698	9839682	5491520
2022-02-04	34504944	10580423	9354590	9026865	9842728	5542906
2022-02-05	34551520	10581126	9354969	9027419	9843502	5587846
2022-02-06	34577234	10581273	9355112	9027612	9843728	5613068
2022-02-07	34588070	10583276	9356394	9029400	9846370	5618814
2022-02-08	34623506	10585309	9357716	9031420	9849252	5648870
2022-02-09	34653847	10587170	9358859	9033002	9851616	5674624
2022-02-10	34684400	10589033	9360041	9034852	9854381	5700280
2022-02-11	34712606	10591122	9361479	9036906	9857305	5722905
2022-02-12	34735729	10591632	9361846	9037475	9858081	5744577
2022-02-13	34748037	10591716	9361880	9037550	9858220	5756692
2022-02-14	34754239	10592857	9362784	9038896	9860083	5759487
2022-02-15	34775103	10594300	9363782	9040205	9862067	5776600
2022-02-16	34797939	10595818	9364825	9041806	9864341	5795263
2022-02-17	34823700	10597367	9365891	9043238	9866414	5816975
2022-02-18	34849139	10599029	9367112	9044834	9868835	5835924
2022-02-19	34870616	10599501	9367535	9045389	9869609	5857903
